vid,pid,dev_name,man_name
0001,7778,"Counterfeit flash drive [Kingston]","Fry's Electronics"
0002,0002,"passport00","Ingram"
0011,7788,"counterfeit flash drive","Unknown"
0053,5301,"GW-US54ZGL 802.11bg","Planex"
0078,0006,"Joystick","Microntek"
0079,0006,"PC TWIN SHOCK Gamepad","DragonRise Inc."
0079,0011,"Gamepad","DragonRise Inc."
0079,1800,"Mayflash Wii U Pro Game Controller Adapter [DirectInput]","DragonRise Inc."
0079,181b,"Venom Arcade Joystick","DragonRise Inc."
0079,1843,"Mayflash GameCube Controller Adapter","DragonRise Inc."
0079,1844,"Mayflash GameCube Controller","DragonRise Inc."
0080,a001,"JMS578 based SATA bridge","Unknown"
0085,0600,"eBook Reader","Boeye Technology Co., Ltd."
0105,145f,"NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]","Trust International B.V."
0127,0002,"HDM Interface","IBP"
0127,0127,"ibp","IBP"
0145,0112,"Card Reader","Unknown"
017c,145f,"Trust Deskset","MLK"
0200,0201,"MA180 UMTS Modem","TP-Link"
0204,6025,"CBM2080 / CBM2090 Flash drive controller","Chipsbank Microelectronics Co., Ltd"
0204,6026,"CBM1180 Flash drive controller","Chipsbank Microelectronics Co., Ltd"
0218,0301,"MIDI Port","Hangzhou Worlde"
02ad,138c,"PVR Mass Storage","HUMAX Co., Ltd."
0324,bc06,"OCZ ATV USB 2.0 Flash Drive","OCZ Technology Inc"
0324,bc08,"OCZ Rally2/ATV USB 2.0 Flash Drive","OCZ Technology Inc"
0325,ac02,"ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive","OCZ Technology Inc"
0386,0001,"PSX for USB Converter","LTS"
03c3,120e,"ASI120MC-S Planetary Camera","ZWO"
03d9,0499,"SE340D PC Remote Control","Shenzhen Sinote Tech-Electron Co., Ltd"
03da,0002,"HD44780 LCD interface","Bernd Walter Computer Technology"
03e7,2150,"Myriad VPU [Movidius Neural Compute Stick]","Intel"
03e7,2485,"Movidius MyriadX","Intel"
03e7,f63b,"Myriad VPU [Movidius Neural Compute Stick]","Intel"
03e8,0004,"SE401 Webcam","EndPoints, Inc."
03e8,0008,"101 Ethernet [klsi]","EndPoints, Inc."
03e8,0015,"ATAPI Enclosure","EndPoints, Inc."
03e8,2123,"SiPix StyleCam Deluxe","EndPoints, Inc."
03e8,8004,"Aox 99001","EndPoints, Inc."
03eb,0902,"4-Port Hub","Atmel Corp."
03eb,2002,"Mass Storage Device","Atmel Corp."
03eb,2015,"at90usbkey sample firmware (HID keyboard)","Atmel Corp."
03eb,2018,"at90usbkey sample firmware (CDC ACM)","Atmel Corp."
03eb,2019,"stk525 sample firmware (microphone)","Atmel Corp."
03eb,201c,"at90usbkey sample firmware (HID mouse)","Atmel Corp."
03eb,201d,"at90usbkey sample firmware (HID generic)","Atmel Corp."
03eb,2022,"at90usbkey sample firmware (composite device)","Atmel Corp."
03eb,2040,"LUFA Test PID","Atmel Corp."
03eb,2041,"LUFA Mouse Demo Application","Atmel Corp."
03eb,2042,"LUFA Keyboard Demo Application","Atmel Corp."
03eb,2043,"LUFA Joystick Demo Application","Atmel Corp."
03eb,2044,"LUFA CDC Demo Application","Atmel Corp."
03eb,2045,"LUFA Mass Storage Demo Application","Atmel Corp."
03eb,2046,"LUFA Audio Output Demo Application","Atmel Corp."
03eb,2047,"LUFA Audio Input Demo Application","Atmel Corp."
03eb,2048,"LUFA MIDI Demo Application","Atmel Corp."
03eb,2049,"Stripe Snoop Magnetic Stripe Reader","Atmel Corp."
03eb,204a,"LUFA CDC Class Bootloader","Atmel Corp."
03eb,204b,"LUFA USB to Serial Adapter Project","Atmel Corp."
03eb,204c,"LUFA RNDIS Demo Application","Atmel Corp."
03eb,204d,"LUFA Combined Mouse and Keyboard Demo Application","Atmel Corp."
03eb,204e,"LUFA Dual CDC Demo Application","Atmel Corp."
03eb,204f,"LUFA Generic HID Demo Application","Atmel Corp."
03eb,2060,"Benito Programmer Project","Atmel Corp."
03eb,2061,"LUFA Combined Mass Storage and Keyboard Demo Application","Atmel Corp."
03eb,2062,"LUFA Combined CDC and Mouse Demo Application","Atmel Corp."
03eb,2063,"LUFA Datalogger Device","Atmel Corp."
03eb,2064,"Interfaceless Control-Only LUFA Devices","Atmel Corp."
03eb,2065,"LUFA Test and Measurement Demo Application","Atmel Corp."
03eb,2066,"LUFA Multiple Report HID Demo","Atmel Corp."
03eb,2067,"LUFA HID Class Bootloader","Atmel Corp."
03eb,2068,"LUFA Virtual Serial/Mass Storage Demo","Atmel Corp."
03eb,2069,"LUFA Webserver Project","Atmel Corp."
03eb,2103,"JTAG ICE mkII","Atmel Corp."
03eb,2104,"AVR ISP mkII","Atmel Corp."
03eb,2105,"AVRONE!","Atmel Corp."
03eb,2106,"STK600 development board","Atmel Corp."
03eb,2107,"AVR Dragon","Atmel Corp."
03eb,2109,"STK541 ZigBee Development Board","Atmel Corp."
03eb,210a,"AT86RF230 [RZUSBSTICK] transceiver","Atmel Corp."
03eb,210d,"XPLAIN evaluation kit (CDC ACM)","Atmel Corp."
03eb,2110,"AVR JTAGICE3 Debugger and Programmer","Atmel Corp."
03eb,2111,"Xplained Pro board debugger and programmer","Atmel Corp."
03eb,2122,"XMEGA-A1 Explained evaluation kit","Atmel Corp."
03eb,2140,"AVR JTAGICE3 (v3.x) Debugger and Programmer","Atmel Corp."
03eb,2141,"ICE debugger","Atmel Corp."
03eb,2145,"ATMEGA328P-XMINI (CDC ACM)","Atmel Corp."
03eb,2310,"EVK11xx evaluation board","Atmel Corp."
03eb,2404,"The Micro","Atmel Corp."
03eb,2fe4,"ATxmega32A4U DFU bootloader","Atmel Corp."
03eb,2fe6,"Cactus V6 (DFU)","Atmel Corp."
03eb,2fea,"Cactus RF60 (DFU)","Atmel Corp."
03eb,2fee,"atmega8u2 DFU bootloader","Atmel Corp."
03eb,2fef,"atmega16u2 DFU bootloader","Atmel Corp."
03eb,2ff0,"atmega32u2 DFU bootloader","Atmel Corp."
03eb,2ff1,"at32uc3a3 DFU bootloader","Atmel Corp."
03eb,2ff3,"atmega16u4 DFU bootloader","Atmel Corp."
03eb,2ff4,"atmega32u4 DFU bootloader","Atmel Corp."
03eb,2ff6,"at32uc3b0/1 DFU bootloader","Atmel Corp."
03eb,2ff7,"at90usb82 DFU bootloader","Atmel Corp."
03eb,2ff8,"at32uc3a0/1 DFU bootloader","Atmel Corp."
03eb,2ff9,"at90usb646/647 DFU bootloader","Atmel Corp."
03eb,2ffa,"at90usb162 DFU bootloader","Atmel Corp."
03eb,2ffb,"at90usb AVR DFU bootloader","Atmel Corp."
03eb,2ffd,"at89c5130/c5131 DFU bootloader","Atmel Corp."
03eb,2fff,"at89c5132/c51snd1c DFU bootloader","Atmel Corp."
03eb,3301,"at43301 4-Port Hub","Atmel Corp."
03eb,3312,"4-Port Hub","Atmel Corp."
03eb,4102,"AirVast W-Buddie WN210","Atmel Corp."
03eb,5601,"at76c510 Prism-II 802.11b Access Point","Atmel Corp."
03eb,5603,"Cisco 7920 WiFi IP Phone","Atmel Corp."
03eb,6119,"AT91SAM CDC Demo Application","Atmel Corp."
